attack_id,attack_name,category,attack_start_time,attack_end_time,alert_generated,alert_time,detection_time_seconds,rule_id,rule_level,rule_description,analysis_start_time,analysis_end_time,analysis_time_minutes,remediation_start_time,remediation_end_time,remediation_time_minutes,total_response_time_minutes,classification,phase,notes
01,SSH Brute Force,Brute Force,2026-01-10T20:06:35+03:00,2026-01-10T20:06:52+03:00,Yes,2026-01-10T17:06:39.357000+00:00,4.357,5710,5,sshd: Attempt to login using a non-existent user,2026-01-10T22:39:15+03:00,2026-01-10T22:39:23+03:00,0.13333333333333333,2026-01-10T22:39:50+03:00,2026-01-10T22:40:02+03:00,0.2,153.37738333333334,true-positive,1,Block the IP address via active response with firewall drop
02,Web Login Brute Force,Brute Force,2026-01-10T20:06:53+03:00,2026-01-10T20:07:15+03:00,Yes,2026-01-10T17:06:53.371000+00:00,0.371,5710,5,sshd: Attempt to login using a non-existent user,2026-01-10T22:46:19+03:00,2026-01-10T22:48:38+03:00,2.316666666666667,2026-01-10T22:48:50+03:00,2026-01-10T22:49:02+03:00,0.2,162.14381666666668,true-positive,1,Block the IP address via active response with firewall drop
03,Unauthorized File Modification,File Integrity,2026-01-10T20:07:16+03:00,2026-01-10T20:07:24+03:00,Yes,2026-01-10T17:07:20.402000+00:00,4.402,554,5,File added to the system.,2026-01-10T22:53:45+03:00,2026-01-10T22:53:53+03:00,0.13333333333333333,2026-01-10T22:54:05+03:00,2026-01-10T22:57:17+03:00,3.2,169.9433,true-positive,1,Integrate VirusTotal and block the IP via active response with rules 550 and 554 Syscheck handled created and deleted and modified files Disable the user when rules 550 or 554 trigger
04,Configuration File Tampering,File Integrity,2026-01-10T20:07:25+03:00,2026-01-10T20:07:36+03:00,Yes,2026-01-10T17:07:25.475000+00:00,0.475,550,7,Integrity checksum changed.,2026-01-10T22:57:30+03:00,2026-01-10T11:22:58:00:00,,2026-01-10T22:58:05+03:00,2026-01-10T22:59:24+03:00,1.3166666666666667,171.97541666666666,true-positive,1,Block the IP via active response with rules 550 and 554 Syscheck restored the tampered files
05,EICAR Test File Download,Malware,2026-01-10T20:07:38+03:00,2026-01-10T20:07:52+03:00,Yes,2026-01-10T17:07:39.418000+00:00,1.418,5501,3,PAM: Login session opened.,2026-01-10T23:01:30+03:00,2026-01-10T23:02:38+03:00,1.1333333333333333,2026-01-10T23:02:50+03:00,2026-01-10T23:05:02+03:00,2.2,177.37636666666668,true-positive,1,Add VirusTotal and block the IP via active response with rules 550 and 554 Syscheck handled created and deleted and modified files Disable the user when rules 550 or 554 trigger
06,Suspicious Script Execution,Malware,2026-01-10T20:07:54+03:00,2026-01-10T20:08:14+03:00,Yes,2026-01-10T17:07:54.578000+00:00,0.578,553,7,File deleted.,2026-01-10T23:10:30+03:00,2026-01-10T23:07:38+03:00,-2.8666666666666667,2026-01-10T23:07:50+03:00,2026-01-10T23:08:02+03:00,0.2,180.1237,true-positive,1,Add VirusTotal and block the IP via active response with rules 550 and 554 Syscheck handled created and deleted and modified files Disable the user when rules 550 or 554 trigger
07,Sudo Abuse,Privilege Escalation,2026-01-10T20:08:15+03:00,2026-01-10T20:08:40+03:00,Yes,2026-01-10T17:08:15.656000+00:00,0.656,553,7,File deleted.,2026-01-10T23:10:14+03:00,2026-01-10T23:11:22+03:00,1.1333333333333333,2026-01-10T23:11:34+03:00,2026-01-10T23:13:46+03:00,2.2,185.50573333333332,true-positive,1,Disable the user used in the attack and block the IP via active response with rules 5710 5712 5716 and 100100
08,User Added to Admin Group,Privilege Escalation,2026-01-10T20:08:42+03:00,2026-01-10T20:08:55+03:00,Yes,2026-01-10T17:08:43.523000+00:00,1.523,5502,3,PAM: Login session closed.,2026-01-10T23:14:46+03:00,2026-01-10T23:16:54+03:00,2.1333333333333333,2026-01-10T23:17:06+03:00,2026-01-10T23:20:18+03:00,3.2,191.57461666666669,true-positive,1,Block the IP via active response with rules 5902 and 40501 and disable the user used in the attack
09,Network Port Scan,Network,2026-01-10T20:08:56+03:00,2026-01-10T20:09:10+03:00,Yes,2026-01-10T17:08:56.005000+00:00,0.005,550,7,Integrity checksum changed.,2026-01-10T23:20:50+03:00,2026-01-10T23:21:58+03:00,1.1333333333333333,2026-01-10T23:22:10+03:00,2026-01-10T23:26:01+03:00,3.85,197.08325000000002,false-negative,1,No alerts were generated Add firewall rules or integrate Suricata with the firewall to block the attack at the network level
10,Suspicious Outbound Connection,Network,2026-01-10T20:09:12+03:00,2026-01-10T20:09:26+03:00,Yes,2026-01-10T17:09:15.530000+00:00,3.53,5501,3,PAM: Login session opened.,2026-01-10T23:20:50+03:00,2026-01-10T23:21:58+03:00,1.1333333333333333,2026-01-10T23:22:10+03:00,2026-01-10T23:27:47+03:00,5.616666666666666,198.5245,false-negative,1,No alerts were generated Add firewall rules or integrate Suricata with the firewall to block the attack at the network level
11,SQL Injection Attempts,Web Attack,2026-01-10T20:09:27+03:00,2026-01-10T20:09:36+03:00,No,,,,,,2026-01-10T23:20:50+03:00,2026-01-10T23:21:58+03:00,1.1333333333333333,2026-01-10T23:22:10+03:00,2026-01-10T23:28:52+03:00,6.7,,false-negative,1,No alerts were generated Add firewall rules or integrate Suricata with the firewall to block the attack at the network level
12,XSS Injection Attempts,Web Attack,2026-01-10T20:09:37+03:00,2026-01-10T20:09:43+03:00,Yes,2026-01-10T17:09:38.189000+00:00,1.189,31105,6,XSS (Cross Site Scripting) attempt.,2026-01-10T23:29:54+03:00,2026-01-10T23:31:39+03:00,1.75,2026-01-10T23:31:51+03:00,2026-01-10T23:35:03+03:00,3.2,205.41351666666665,true-positive,1,Use the firewall to block the attack at the network level
13,Rootkit Indicator,Rootkit,2026-01-10T20:09:47+03:00,2026-01-10T20:09:49+03:00,Yes,2026-01-10T17:09:47.590000+00:00,0.59,5501,3,PAM: Login session opened.,2026-01-10T23:36:31+03:00,2026-01-10T23:39:31+03:00,3.0,2026-01-10T23:39:50+03:00,2026-01-10T23:44:23+03+03:00,,,true-positive,1,Syscheck restored the modified files Block the IP by adding firewall rules with rule ID 5402
14,Service Manipulation,System,2026-01-10T20:09:51+03:00,2026-01-10T20:09:52+03:00,Yes,2026-01-10T17:09:51.556000+00:00,0.556,40112,12,Multiple authentication failures followed by a success.,2026-01-10T23:50:02+03:00,2026-01-10T23:52:02+03:00,2.0,2026-01-10T23:52:25+03:00,2026-01-10T23:54:02+03:00,1.6166666666666667,224.17406666666665,true-positive,1,Syscheck restored the modified files Block the IP by adding firewall rules with rule ID 5402
15,Cron Job Modification,Persistence,2026-01-10T20:09:53+03:00,2026-01-10T20:10:02+03:00,Yes,2026-01-10T17:09:53.599000+00:00,0.599,5502,3,PAM: Login session closed.,2026-01-10T23:54:50+03:00,2026-01-10T23:59:46+03:00,4.933333333333334,2026-01-10T23:59:58+03:00,2026-01-11T00:07:32+03:00,7.566666666666666,237.64001666666667,true-positive,1,Syscheck restored the modified files Block the IP by adding firewall rules with rule ID 5402
16,Failed Authentication Attempts,Authentication,2026-01-10T20:10:01+03:00,2026-01-10T20:10:05+03:00,Yes,2026-01-10T17:10:01.565000+00:00,0.565,5402,3,Successful sudo to ROOT executed.,2026-01-11T00:12:06+03:00,2026-01-11T00:16:30+03:00,4.4,2026-01-11T00:16:42+03:00,2026-01-11T00:22:46+03:00,6.066666666666666,252.74058333333332,true-positive,1,Block the IP by adding firewall rules
17,Log Tampering,Log Tampering,2026-01-10T20:10:07+03:00,2026-01-10T20:10:25+03:00,Yes,2026-01-10T17:10:07.573000+00:00,0.573,40112,12,Multiple authentication failures followed by a success.,2026-01-11T00:24:50+03:00,2026-01-11T00:26:37+03:00,1.7833333333333334,2026-01-11T00:27:00+03:00,2026-01-11T00:33:57+03:00,6.95,263.8237833333333,true-positive,1,Block the IP by adding firewall rules and disable the user used in the attack
18,Suspicious DNS Queries,Command & Control,2026-01-10T20:10:26+03:00,2026-01-10T20:10:28+03:00,No,,,,,,2026-01-11T00:35:57+03:00,2026-01-11T00:36:35+03:00,0.6333333333333333,2026-01-11T00:36:50+03:00,2026-01-11T00:37:02+03:00,0.2,,false-negative,1,Add Suricata IDS with the firewall to detect and block this attack at the network level
19,Attack_19,FalsePositive,2026-01-10T20:10:09+03:00,2026-01-10T20:10:35+03:00,Yes,2026-01-10T17:10:33.639000+00:00,24.639,40112,12,Multiple authentication failures followed by a success.,2026-01-11T00:41:59+03:00,2026-01-11T00:42:07+03:00,0.13333333333333333,2026-01-11T00:42:19+03:00,2026-01-11T00:43:31+03:00,1.2,272.9560166666667,false-positive,1,false positive detected not an actual attack
20,Attack_20,FalsePositive,2026-01-10T20:10:36+03:00,2026-01-10T20:10:37+03:00,Yes,2026-01-10T17:10:37.541000+00:00,1.541,554,5,File added to the system.,2026-01-11T00:44:22+03:00,2026-01-11T00:44:30+03:00,0.13333333333333333,2026-01-11T00:44:42+03:00,2026-01-11T00:45:00+03:00,0.3,274.37431666666663,false-positive,1,false positive detected not an actual attack
21,Attack_21,FalsePositive,2026-01-10T20:10:37+03:00,2026-01-10T20:10:38+03:00,Yes,2026-01-10T17:10:37.541000+00:00,0.541,554,5,File added to the system.,2026-01-11T00:45:29+03:00,2026-01-11T00:45:50+03:00,0.35,2026-01-11T00:46:02+03:00,2026-01-11T00:46:14+03:00,0.2,275.60765,false-positive,1,false positive detected not an actual attack
22,Attack_22,FalsePositive,2026-01-10T20:10:38+03:00,2026-01-10T20:10:42+03:00,Yes,2026-01-10T17:10:38.672000+00:00,0.672,553,7,File deleted.,2026-01-11T00:47:21+03:00,2026-01-11T00:48:29+03:00,1.1333333333333333,2026-01-11T00:48:50+03:00,2026-01-11T00:49:04+03:00,0.23333333333333334,278.42213333333336,false-positive,1,false positive detected not an actual attack
23,Attack_23,FalsePositive,2026-01-10T20:10:49+03:00,2026-01-10T20:10:55+03:00,Yes,2026-01-10T17:10:49.615000+00:00,0.615,5715,3,sshd: authentication success.,2026-01-11T00:49:21+03:00,2026-01-11T00:49:39+03:00,0.3,2026-01-11T00:49:50+03:00,2026-01-11T00:50:04+03:00,0.23333333333333334,279.23974999999996,false-positive,1,false positive detected not an actual attack
24,Attack_24,FalsePositive,2026-01-10T20:10:57+03:00,2026-01-10T20:11:01+03:00,Yes,2026-01-10T17:10:57.623000+00:00,0.623,5715,3,sshd: authentication success.,2026-01-11T00:50:21+03:00,2026-01-11T00:50:30+03:00,0.15,2026-01-11T00:50:50+03:00,2026-01-11T00:51:04+03:00,0.23333333333333334,280.10628333333335,false-positive,1,false positive detected not an actual attack
